0
Ruax - Aries 1st Mars
Barsafael - Aries 2nd Sun
Arôtosael - Aries 3rd Jupiter
Sahu - Taurus 1st Venus
Iudal - Taurus 2nd Mercury
Ouare - Taurus 3rd Saturn
Sphandôr - Gemini 1st Mercury
Belbel - Gemini 2nd Venus
Kurtaêl - Gemini 3rd Saturn
Methiax - Cancer 1st Moon
Charchnoumis - Cancer 2nd Mars
Saphathoraél - Cancer 3rd Venus
Phoubêl - Leo 1st Sun
Kumeatêl - Leo 2nd Jupiter
Roêlêd - Leo 3rd Mars
Atrax - Virgo 1st Mercury
Ieropaêl - Virgo 2nd Saturn
Buldumêch - Virgo 3rd Venus
Naôth - Libra 1st Venus
Marderô - Libra 2nd Saturn
Alath - Libra 3rd Mercury
Tepsisem - Scorpio 1st Mars
Nefthada - Scorpio 2nd Jupiter
Akton - Scorpio 3rd Moon
Anatreth - Sagittarius 1st Jupiter
Eneuth - Sagittarius 2nd Mars
Axiôphêth - Sagittarius 3rd Sun
Harpax - Capricorn 1st Saturn
Anostêr - Capricorn 2nd Venus
Alleborith - Capricorn 3rd Mercury
Hephesimereth - Aquarius 1st Saturn
Isrö - Aquarius 2nd Jupiter
Agchoniôn - Aquarius 3rd Venus
Akhouiy - Pisces 1st Jupiter
Phthenoth - Pisces 2nd Moon
Bianakith - Pisces 3rd Mars
